FUS_UTM,ESTN,NORD,NOM_MINE,STAT_MINE,FEUILLET,PROMOTEUR,CODE_SUB1,CATG_SUB1,SUB_PRIN1,CODE_SUB2,CATG_SUB2,SUB_PRIN2,CODE_SUB3,CATG_SUB3,SUB_PRIN3,CODE_SUB4,CATG_SUB4,SUB_PRIN4,CODE_SUB5,CATG_SUB5,SUB_PRIN5,CODE_SUB6,CATG_SUB6,SUB_PRIN6,CODE_SUB7,CATG_SUB7,SUB_PRIN7,CODE_SUB8,CATG_SUB8,SUB_PRIN8,CODE_SUB9,CATG_SUB9,SUB_PRIN9,CODE_SUB10,CATG_SUB10,SUB_PRIN10,PLAN_NORD,CODE_SYMBL,TYPE_EXPLO,NOM_MINE_A,Coord_X,Coord_Y
17,689911,5347340,Complexe LaRonde,1,32D08,Mines Agnico Eagle ltée,Au,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,Cu,ME Minéraux métalliques,N,Zn,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,N,MAAu,S,,-78.441603,48.250795
20,608575,5274905,Mines Seleine,1,11N12,Sel Windsor ltée,NaCl,MI Minéraux industriels,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MANaCl,S,,-61.555091,47.618447
19,611695,5844729,Mont-Wright,1,23B11,ArcelorMittal Exploitation minière Canada s.e.n.c.,Fe,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MAFe,CO,,-67.345479,52.740872
19,340604,5377633,Niobec,1,22D11,Magris Resources inc.,Nb2O5,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MANb,S,,-71.159139,48.531545
18,582631,6825709,Nunavik Nickel,1,35H11,Canadian Royalties inc.,Ni,ME Minéraux métalliques,O,Au,ME Minéraux métalliques,N,Co,ME Minéraux métalliques,N,Cu,ME Minéraux métalliques,N,Pd,ME Minéraux métalliques,N,Pt,ME Minéraux métalliques,N,,,,,,,,,,,,,O,MANi,SCO,,-73.444865,61.556028
18,570300,6839436,Raglan,1,35H12,Glencore Canada,Ni,ME Minéraux métalliques,O,Co,ME Minéraux métalliques,N,Cu,ME Minéraux métalliques,N,Pd,ME Minéraux métalliques,N,Pt,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,O,MANi,SCO,,-73.671588,61.681668
18,537417,5651197,Troilus,3,32O01,Corporation minière Troilus,Au,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,Cu,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,O,MVAu,SCO,,-74.466634,51.011121
17,683596,5347986,Westwood,1,32D07,IAMGOLD Corporation,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MAAu,S,,-78.526312,48.258462
18,452447,5435694,Windfall,3,32G04,Gold Fields Limited,Au,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,,,,O,MVAu,S,,-75.651086,49.072271
17,688289,5391825,Dumont Nickel,3,32D09,Dumont Nickel S.E.C.,Ni,ME Minéraux métalliques,O,Co,ME Minéraux métalliques,N,Fe,ME Minéraux métalliques,N,Pd,ME Minéraux métalliques,N,Pt,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,N,MVNi,CO,,-78.443427,48.651092
18,278366,5335828,Marban,3,32C04,Mines Agnico Eagle ltée,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MVAu,SCO,,-77.97919,48.137067
19,374700,5529585,Lac à Paul,3,22E15,Arianne Phosphate inc.,P2O5,MI Minéraux industriels,O,TiO2,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,,,,O,MVAP,CO,,-70.74499,49.905512
18,461809,5064849,Othmer,1,31G11,Dentsply Canada Ltd,FP,MI Minéraux industriels,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MAFP,CO,,-75.49089,45.736143
18,525620,5522778,Lac Scott,3,32G15,Les Ressources Yorbeau inc.,Zn,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,Au,ME Minéraux métalliques,N,Cu,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,O,MVZn,S,,-74.64357,49.85687
17,630379,5374630,Duparquet,3,32D11,Mines d'Or Duparquet inc.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MVAu,CO,,-79.234641,48.511242
